"year","statistical_region","name_of_municipality","waste_code","type_of_waste","waste_category","waste_by_municipality"
2022,"POMURSKA","KRIŽEVCI","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",38.049
2022,"POMURSKA","KRIŽEVCI","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",181.14
2022,"POMURSKA","KUZMA","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",3.848
2022,"POMURSKA","KUZMA","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",20.114
2022,"POMURSKA","KUZMA","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",17.8
2022,"POMURSKA","KUZMA","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",35.87
2022,"POMURSKA","LENDAVA","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",130.272
2022,"POMURSKA","LENDAVA","15 01 03","Wooden Packaging (15 01 03)","Packaging Waste",0.32
2022,"POMURSKA","LENDAVA","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",138.651
2022,"POMURSKA","LENDAVA","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",14.34
2022,"POMURSKA","LENDAVA","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",226.13
2022,"POMURSKA","LJUTOMER","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",78.338
2022,"POMURSKA","LJUTOMER","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",157.108
2022,"POMURSKA","LJUTOMER","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",580.58
