"year","statistical_region","treatment_inlet_delivered_waste_code","input_waste_name","waste_category","treatment_operation","treatment_outlet_delivered_waste_code","output_waste_name","waste_category_1","further_treatment_envisaged","waste_sent_to_self_storage_end_year","waste_sent_to_collector_SI","waste_sent_to_treatment_operator","waste_sent_to_EU_member_states","waste_sent_to_non_EU_countries","waste_sent_to_no_further_management"
2024,"JUGOVZHODNA SLOVENIJA","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste","R_12, R_13","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste","R_12, R_13",0,0,151.92,0,0,0
2024,"JUGOVZHODNA SLOVENIJA","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste","R_12, R_13","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",NA,32.463,0,0,0,0,0
2024,"JUGOVZHODNA SLOVENIJA","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste","R_12, R_13","19 12 01","Paper and Cardboard from Waste Treatment (19 12 01)","Waste Treatment Residues","R_03",0,0,680.88,0,0,0
2024,"JUGOVZHODNA SLOVENIJA","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste","R_12, R_13","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste","R_03",0,0,0,28.74,0,0
2024,"JUGOVZHODNA SLOVENIJA","15 01 02","Plastic Packaging (15 01 02)","Packaging Waste","R_03","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste","R_12, R_13",0,0,72.78,0,0,0
2024,"JUGOVZHODNA SLOVENIJA","15 01 02","Plastic Packaging (15 01 02)","Packaging Waste","R_03","19 12 01","Paper and Cardboard from Waste Treatment (19 12 01)","Waste Treatment Residues","R_03",0,0,0,47.425,0,0
2024,"JUGOVZHODNA SLOVENIJA","15 01 02","Plastic Packaging (15 01 02)","Packaging Waste","R_03","19 12 01","Paper and Cardboard from Waste Treatment (19 12 01)","Waste Treatment Residues","R_12",0,0,39.752,0,0,0
2024,"JUGOVZHODNA SLOVENIJA","15 01 03","Wooden Packaging (15 01 03)","Packaging Waste","R_12, R_13","15 01 03","Wooden Packaging (15 01 03)","Packaging Waste","PU",0,0,71.16,0,0,0
2024,"JUGOVZHODNA SLOVENIJA","15 01 03","Wooden Packaging (15 01 03)","Packaging Waste","R_12, R_13","15 01 03","Wooden Packaging (15 01 03)","Packaging Waste","R_01",0,0,5,0,0,0
2024,"JUGOVZHODNA SLOVENIJA","15 01 03","Wooden Packaging (15 01 03)","Packaging Waste","R_12, R_13","15 01 03","Wooden Packaging (15 01 03)","Packaging Waste","R_03",0,0,1583.224,0,0,0
2024,"JUGOVZHODNA SLOVENIJA","15 01 03","Wooden Packaging (15 01 03)","Packaging Waste","R_12, R_13","15 01 03","Wooden Packaging (15 01 03)","Packaging Waste","R_12, R_13",0,0,154.96,0,0,0
2024,"JUGOVZHODNA SLOVENIJA","15 01 03","Wooden Packaging (15 01 03)","Packaging Waste","R_12, R_13","15 01 03","Wooden Packaging (15 01 03)","Packaging Waste",NA,30.27,0,0,0,0,0
2024,"JUGOVZHODNA SLOVENIJA","15 01 03","Wooden Packaging (15 01 03)","Packaging Waste","R_12, R_13","19 12 12","Other Mechanically Treated Waste (19 12 12)","Waste Treatment Residues","R_01",0,0,0,26.648,0,0
2024,"JUGOVZHODNA SLOVENIJA","15 01 03","Wooden Packaging (15 01 03)","Packaging Waste","R_13","15 01 03","Wooden Packaging (15 01 03)","Packaging Waste","R_12, R_13",0,0,16.597,0,0,0
